Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tiles/3/6/6.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,1,898.3078050077893,898.3078050077893,898.3078050077893,898.3078050077893,41.0,0.009598461933472939,0.009598461933472939,900,900,900,900,900,900,900,900,900,900,900
GET,/tiles/3/7/1.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,986.9731039943872,986.9731039943872,986.9731039943872,986.9731039943872,1060.0,0.009598461933472939,0.0,990,990,990,990,990,990,990,990,990,990,990
GET,/tiles/4/0/7.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,1041.9139139994513,1041.9139139994513,1041.9139139994513,1041.9139139994513,796.0,0.009598461933472939,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/tiles/4/1/4.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,974.9726679874584,974.9726679874584,974.9726679874584,974.9726679874584,947.0,0.009598461933472939,0.0,970,970,970,970,970,970,970,970,970,970,970
GET,/tiles/4/10/6.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,1074.5377610001015,1074.5377610001015,1074.5377610001015,1074.5377610001015,1013.0,0.009598461933472939,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/tiles/4/10/9.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,1006.207419995917,1006.207419995917,1006.207419995917,1006.207419995917,743.0,0.009598461933472939,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/tiles/4/11/9.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,952.271029993426,952.271029993426,952.271029993426,952.271029993426,716.0,0.009598461933472939,0.0,950,950,950,950,950,950,950,950,950,950,950
GET,/tiles/4/14/12.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,1,936.4934390032431,936.4934390032431,936.4934390032431,936.4934390032431,43.0,0.009598461933472939,0.009598461933472939,940,940,940,940,940,940,940,940,940,940,940
GET,/tiles/4/14/9.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,994.0813879948109,994.0813879948109,994.0813879948109,994.0813879948109,1097.0,0.009598461933472939,0.0,990,990,990,990,990,990,990,990,990,990,990
GET,/tiles/4/3/7.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,1088.0236790108029,1088.0236790108029,1088.0236790108029,1088.0236790108029,1021.0,0.009598461933472939,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/tiles/4/3/8.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,1073.4796739998274,1073.4796739998274,1073.4796739998274,1073.4796739998274,748.0,0.009598461933472939,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/tiles/4/4/1.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,1053.9603609940968,1053.9603609940968,1053.9603609940968,1053.9603609940968,818.0,0.009598461933472939,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/tiles/4/5/7.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,971.1725360102719,971.1725360102719,971.1725360102719,971.1725360102719,1106.0,0.009598461933472939,0.0,970,970,970,970,970,970,970,970,970,970,970
GET,/tiles/4/6/4.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,2,0,1100.0,1579.8889924990362,1088.4251270035747,2071.3528579944978,857.0,0.019196923866945877,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/tiles/4/7/3.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,955.9181459917454,955.9181459917454,955.9181459917454,955.9181459917454,814.0,0.009598461933472939,0.0,960,960,960,960,960,960,960,960,960,960,960
GET,/tiles/4/9/4.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,1044.2202489939518,1044.2202489939518,1044.2202489939518,1044.2202489939518,943.0,0.009598461933472939,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/tiles/5/0/26.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,1,873.423652999918,873.423652999918,873.423652999918,873.423652999918,42.0,0.009598461933472939,0.009598461933472939,870,870,870,870,870,870,870,870,870,870,870
GET,/tiles/5/10/8.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,962.1946140105138,962.1946140105138,962.1946140105138,962.1946140105138,870.0,0.009598461933472939,0.0,960,960,960,960,960,960,960,960,960,960,960
GET,/tiles/5/12/4.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,983.4369090094697,983.4369090094697,983.4369090094697,983.4369090094697,694.0,0.009598461933472939,0.0,980,980,980,980,980,980,980,980,980,980,980
GET,/tiles/5/13/11.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,960.5601160001243,960.5601160001243,960.5601160001243,960.5601160001243,693.0,0.009598461933472939,0.0,960,960,960,960,960,960,960,960,960,960,960
GET,/tiles/5/13/8.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,988.4608040010789,988.4608040010789,988.4608040010789,988.4608040010789,760.0,0.009598461933472939,0.0,990,990,990,990,990,990,990,990,990,990,990
GET,/tiles/5/15/17.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,952.8049640066456,952.8049640066456,952.8049640066456,952.8049640066456,713.0,0.009598461933472939,0.0,950,950,950,950,950,950,950,950,950,950,950
GET,/tiles/5/16/23.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,1,951.9262510002591,951.9262510002591,951.9262510002591,951.9262510002591,43.0,0.009598461933472939,0.009598461933472939,950,950,950,950,950,950,950,950,950,950,950
GET,/tiles/5/18/5.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,934.3001579982229,934.3001579982229,934.3001579982229,934.3001579982229,721.0,0.009598461933472939,0.0,930,930,930,930,930,930,930,930,930,930,930
GET,/tiles/5/19/6.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,957.2412900015479,957.2412900015479,957.2412900015479,957.2412900015479,693.0,0.009598461933472939,0.0,960,960,960,960,960,960,960,960,960,960,960
GET,/tiles/5/21/13.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,1023.1914649921237,1023.1914649921237,1023.1914649921237,1023.1914649921237,848.0,0.009598461933472939,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/tiles/5/21/20.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,1024.7197650023736,1024.7197650023736,1024.7197650023736,1024.7197650023736,693.0,0.009598461933472939,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/tiles/5/21/4.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,1128.8212810031837,1128.8212810031837,1128.8212810031837,1128.8212810031837,705.0,0.009598461933472939,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/tiles/5/22/23.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,1,1052.4997769971378,1052.4997769971378,1052.4997769971378,1052.4997769971378,43.0,0.009598461933472939,0.009598461933472939,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/tiles/5/23/11.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,952.8266970010009,952.8266970010009,952.8266970010009,952.8266970010009,694.0,0.009598461933472939,0.0,950,950,950,950,950,950,950,950,950,950,950
GET,/tiles/5/23/2.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,2,0,1000.2963419974549,1032.5702259942773,1000.2963419974549,1064.8441099910997,693.0,0.019196923866945877,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/tiles/5/24/12.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,1061.514860994066,1061.514860994066,1061.514860994066,1061.514860994066,694.0,0.009598461933472939,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/tiles/5/25/1.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,958.4191229951102,958.4191229951102,958.4191229951102,958.4191229951102,693.0,0.009598461933472939,0.0,960,960,960,960,960,960,960,960,960,960,960
GET,/tiles/5/25/22.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,1070.870865994948,1070.870865994948,1070.870865994948,1070.870865994948,693.0,0.009598461933472939,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/tiles/5/27/1.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,972.8931970021222,972.8931970021222,972.8931970021222,972.8931970021222,693.0,0.009598461933472939,0.0,970,970,970,970,970,970,970,970,970,970,970
GET,/tiles/5/27/23.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,1,891.7285110073863,891.7285110073863,891.7285110073863,891.7285110073863,43.0,0.009598461933472939,0.009598461933472939,890,890,890,890,890,890,890,890,890,890,890
GET,/tiles/5/29/24.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,1,869.827078000526,869.827078000526,869.827078000526,869.827078000526,43.0,0.009598461933472939,0.009598461933472939,870,870,870,870,870,870,870,870,870,870,870
GET,/tiles/5/29/29.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,1,1019.3853759992635,1019.3853759992635,1019.3853759992635,1019.3853759992635,43.0,0.009598461933472939,0.009598461933472939,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/tiles/5/31/9.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,958.251983000082,958.251983000082,958.251983000082,958.251983000082,762.0,0.009598461933472939,0.0,960,960,960,960,960,960,960,960,960,960,960
