Method,Name,Error,Occurrences
GET,/tiles/3/2/6.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_29_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/3/2/6.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_29_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/5/1/28.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_29_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/5/1/28.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_29_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/6/56/51.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_29_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/6/56/51.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_29_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/6/46/53.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_29_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/6/46/53.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_29_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/4/15/12.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_29_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/4/15/12.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_29_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/5/25/28.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_29_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/5/25/28.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_29_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/5/26/24.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_29_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/5/26/24.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_29_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/6/29/51.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_29_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/6/29/51.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_29_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/5/25/30.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_29_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/5/25/30.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_29_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/5/14/26.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_29_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/5/14/26.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_29_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
